MY,Item,Name,Form,ws,size,color,drive unit,Family, EVP,Stock qty,Order
2022,2895894,eWME 4.9,Herren,29,S,turquoise fade / red,Shimano EP8,eWME,"  4.499,95 € ",>10,
2022,2895902,eWME 4.9,Herren,29,M,turquoise fade / red,Shimano EP8,eWME,"  4.499,95 € ",>10,
2022,2892974,Cairon C 2.0 500,Trapez,27,XS,black metallic / mint,BES 2 CX ,CAIRON C,"  2.899,95 € ",5,
2022,2894848,Cairon S 5.0 ,Trapez,29,M,black metallic / red metallic matt,BES 3 CX Smart Sys.,CAIRON S,"  3.649,95 € ",10,
2022,2894855,Cairon S 5.0 ,Trapez,29,L,black metallic / red metallic matt,BES 3 CX Smart Sys.,CAIRON S,"  3.649,95 € ",>10,
2022,2894863,Cairon S 5.0 ,Trapez,29,XL,black metallic / red metallic matt,BES 3 CX Smart Sys.,CAIRON S,"  3.649,95 € ",>10,
2022,2894871,Cairon S 5.0 ,Herren,29,S,darkblue metallic / lightblue,BES 3 CX Smart Sys.,CAIRON S,"  3.649,95 € ",>10,
2022,2894921,Cairon S 5.0 ,Trapez,29,S,darkblue metallic / lightblue,BES 3 CX Smart Sys.,CAIRON S,"  3.649,95 € ",6,
2022,2894939,Cairon S 5.0 ,Trapez,29,M,darkblue metallic / lightblue,BES 3 CX Smart Sys.,CAIRON S,"  3.649,95 € ",>10,
2022,2894947,Cairon S 5.0 ,Trapez,29,L,darkblue metallic / lightblue,BES 3 CX Smart Sys.,CAIRON S,"  3.649,95 € ",>10,
2022,2894954,Cairon S 5.0 ,Trapez,29,XL,darkblue metallic / lightblue,BES 3 CX Smart Sys.,CAIRON S,"  3.649,95 € ",>10,
2022,2894962,Cairon S 6.0,Herren,29,S,red metallic / shadowgrey metallic,BES 3 CX Smart Sys.,CAIRON S,"  3.999,95 € ",5,
2022,2895027,Cairon S 6.0,Trapez,29,M,red metallic / shadowgrey metallic,BES 3 CX Smart Sys.,CAIRON S,"  3.999,95 € ",4,
2022,2895134,Cairon S 8.0,Trapez,29,XL,black metallic / gold matt,BES 3 CX Smart Sys.,CAIRON S,"  4.199,95 € ",8,
2022,2893915,Cairon SUV 7.0,Wave,27,XL,black metallic / gold matt,BES 3 CX Smart Sys.,CAIRON SUV,"  4.599,95 € ",10,
2022,2896173,Cairon T 2.0 500,Trapez,28,S,graphitegreymetallic / shadowgrey,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  2.849,95 € ",1,
2022,2896306,Cairon T 2.0 625,Herren,28,M,graphitegreymetallic / shadowgrey,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2896314,Cairon T 2.0 625,Herren,28,L,graphitegreymetallic / shadowgrey,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2896322,Cairon T 2.0 625,Herren,28,XL,graphitegreymetallic / shadowgrey,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2896330,Cairon T 2.0 625,Trapez,28,S,graphitegreymetallic / shadowgrey,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",10,
2022,2898013,Cairon T 2.0 625,Herren,28,S,red metallic / black metallic,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2898021,Cairon T 2.0 625,Herren,28,M,red metallic / black metallic,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2898039,Cairon T 2.0 625,Herren,28,L,red metallic / black metallic,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2898047,Cairon T 2.0 625,Herren,28,XL,red metallic / black metallic,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2898054,Cairon T 2.0 625,Trapez,28,S,red metallic / black metallic,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",8,
2022,2898062,Cairon T 2.0 625,Trapez,28,M,red metallic / black metallic,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2898070,Cairon T 2.0 625,Trapez,28,L,red metallic / black metallic,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2898088,Cairon T 2.0 625,Trapez,28,XL,red metallic / black metallic,BES 2 Perf. 65nM,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2897015,Cairon T 5.0,Herren,28,S,red metallic / black metallic,BES 3 CX Smart Sys.,CAIRON T / TR / TF,"  3.899,95 € ",5,
2022,2896256,Cairon TF 2.7 500,Wave,28,S,graphitegreymetallic / shadowgrey,BES 2 Active Plus,CAIRON T / TR / TF,"  2.849,95 € ",>10,
2022,2896413,Cairon TF 2.7 625,Wave,28,S,graphitegreymetallic / shadowgrey,BES 2 Active Plus,CAIRON T / TR / TF,"  3.049,95 € ",>10,
2022,2898138,Cairon TF 2.7 625,Wave,28,S,red metallic / black metallic,BES 2 Active Plus,CAIRON T / TR / TF,"  3.049,95 € ",9,
2022,2896611,Cairon TF 3.8,Wave,28,S,darkblue metallic matt / platin matt,BES 2 Active Plus,CAIRON T / TR / TF,"  3.399,95 € ",>10,
2022,2896850,Cairon TF 3.8,Wave,28,S,pearl white / black metallic,BES 2 Active Plus,CAIRON T / TR / TF,"  3.399,95 € ",9,
2022,2896652,Cairon TR 3.8,Wave,28,S,darkblue metallic matt / platin matt,BES 2 Active Plus,CAIRON T / TR / TF,"  3.399,95 € ",4,
2022,2896892,Cairon TR 3.8,Wave,28,S,pearl white / black metallic,BES 2 Active Plus,CAIRON T / TR / TF,"  3.399,95 € ",3,
2022,2895977,eWME 5.9 MX,Herren,29,S,tuquoise metallic / darkpetrol metallic,Shimano EP8,eWME,"  4.799,95 € ",4,
2022,2891919,ML 5.7,Damen,27,M,black metallic / turquoise metallic,,MS/MC/ML/MCL,"  729,95 € ",>10,
2022,2890895,MS 3.7,Herren,27,L,acid metallic / darkblue metallic,,MS/MC/ML/MCL,"  599,95 € ",>10,
2022,2891356,MS 3.9,Herren,29,XL,acid metallic / darkblue metallic,,MS/MC/ML/MCL,"  599,95 € ",>10,
2022,2890978,MS 4.7,Herren,27,L,lightgrey matt / acid metallic,,MS/MC/ML/MCL,"  649,95 € ",>10,
2022,2891000,MS 4.7,Herren,27,M,red metallic / black metallic,,MS/MC/ML/MCL,"  649,95 € ",>10,
2022,2891414,MS 4.9,Herren,29,M,lightgrey matt / acid metallic,,MS/MC/ML/MCL,"  649,95 € ",>10,
2022,2891422,MS 4.9,Herren,29,L,lightgrey matt / acid metallic,,MS/MC/ML/MCL,"  649,95 € ",>10,
2022,2891430,MS 4.9,Herren,29,XL,lightgrey matt / acid metallic,,MS/MC/ML/MCL,"  649,95 € ",>10,
2022,2891448,MS 4.9,Herren,29,S,red metallic / black metallic,,MS/MC/ML/MCL,"  649,95 € ",1,
